,word,n_feature
0,a,9.0
1,ace,7.0
2,ache,5.0
3,ached,6.0
4,aches,6.0
5,act,2.0
6,acts,3.0
7,ad,7.0
8,add,3.0
9,adds,4.0
10,ads,8.0
11,aft,9.0
12,age,4.0
13,aid,5.0
14,aide,11.0
15,aides,12.0
16,aids,6.0
17,ail,6.0
18,ailed,7.0
19,ails,7.0
20,aim,5.0
21,aimed,6.0
22,aims,6.0
23,air,5.0
24,airs,6.0
25,aisle,7.0
26,aisles,8.0
27,ale,7.0
28,ales,8.0
29,all,8.0
30,alms,1.0
31,alp,10.0
32,alps,11.0
33,am,4.0
34,amp,6.0
35,an,9.0
36,and,8.0
37,angst,5.0
38,ant,23.0
39,ants,24.0
40,ape,23.0
41,apes,24.0
42,apse,5.0
43,apt,6.0
44,arc,4.0
45,arch,7.0
46,arcs,5.0
47,are,4.0
48,ark,10.0
49,arks,11.0
50,arm,11.0
51,arms,12.0
52,arse,6.0
53,art,6.0
54,arts,7.0
55,as,10.0
56,ash,4.0
57,ask,7.0
58,asked,8.0
59,asks,8.0
60,asp,20.0
61,asps,21.0
62,ass,7.0
63,at,7.0
64,ate,5.0
65,aught,5.0
66,aunt,10.0
67,aunts,11.0
68,awe,4.0
69,awes,5.0
70,awl,10.0
71,awls,11.0
72,awn,8.0
73,ax,16.0
74,axe,16.0
75,aye,7.0
76,babe,10.0
77,babes,11.0
78,back,11.0
79,bad,7.0
80,badge,9.0
81,bag,6.0
82,bags,7.0
83,bail,3.0
84,bails,4.0
85,bait,4.0
86,baits,5.0
87,bake,7.0
88,baked,8.0
89,bakes,8.0
90,bald,6.0
91,bale,7.0
92,bales,8.0
93,balk,5.0
94,balked,6.0
95,balks,6.0
96,ball,7.0
97,balls,8.0
98,balm,8.0
99,balms,9.0
100,ban,14.0
101,band,4.0
102,bands,5.0
103,bane,3.0
104,banes,4.0
105,bang,6.0
106,banged,7.0
107,bangs,7.0
108,bank,4.0
109,banks,5.0
110,bans,15.0
111,bar,13.0
112,barb,9.0
113,barbs,10.0
114,bard,8.0
115,bards,9.0
116,bare,5.0
117,barge,20.0
118,bark,9.0
119,barked,10.0
120,barks,10.0
121,barn,29.0
122,barns,30.0
123,bars,14.0
124,base,3.0
125,based,4.0
126,bash,6.0
127,bask,4.0
128,basked,5.0
129,basks,5.0
130,bast,6.0
131,baste,6.0
132,bastes,7.0
133,bat,9.0
134,batch,3.0
135,bate,7.0
136,bath,10.0
137,bathe,8.0
138,bathed,9.0
139,bathes,9.0
140,baths,11.0
141,bats,10.0
142,bawl,7.0
143,bawled,8.0
144,bawls,8.0
145,bay,4.0
146,bays,5.0
147,be,2.0
148,beach,6.0
149,bead,7.0
150,beads,8.0
151,beak,8.0
152,beaks,9.0
153,beam,6.0
154,beams,7.0
155,bean,10.0
156,beans,11.0
157,bear,22.0
158,beard,10.0
159,beards,11.0
160,bears,23.0
161,beast,7.0
162,beasts,8.0
163,beat,
164,beat,
165,beats,6.0
166,beau,14.0
167,beaus,15.0
168,beck,7.0
169,becks,8.0
170,bed,7.0
171,beds,8.0
172,bee,25.0
173,beech,19.0
174,beef,34.0
175,beefs,35.0
176,beep,5.0
177,beeps,6.0
178,beer,8.0
179,beers,9.0
180,bees,26.0
181,beet,15.0
182,beets,16.0
183,beg,9.0
184,begged,10.0
185,begs,10.0
186,beige,6.0
187,belch,8.0
188,bell,6.0
189,belle,13.0
190,belles,14.0
191,bells,7.0
192,belt,4.0
193,belts,5.0
194,bench,10.0
195,bend,8.0
196,bends,9.0
197,bent,9.0
198,berg,6.0
199,bergs,7.0
200,berth,5.0
201,berths,6.0
202,best,6.0
203,bet,
204,bet,
205,bets,6.0
206,bey,12.0
207,bib,8.0
208,bibs,9.0
209,bid,2.0
210,bide,4.0
211,bids,3.0
212,bier,10.0
213,biers,11.0
214,biff,6.0
215,big,9.0
216,bike,27.0
217,bikes,28.0
218,bile,8.0
219,biles,9.0
220,bilge,7.0
221,bilk,8.0
222,bilked,9.0
223,bilks,9.0
224,bill,13.0
225,bills,14.0
226,bin,5.0
227,bind,5.0
228,binds,6.0
229,binge,7.0
230,bins,6.0
231,birch,7.0
232,bird,30.0
233,birds,31.0
234,birth,5.0
235,births,6.0
236,bisque,11.0
237,bit,5.0
238,bitch,6.0
239,bite,7.0
240,bits,6.0
241,biz,4.0
242,blab,7.0
243,blabbed,8.0
244,blabs,8.0
245,black,5.0
246,blade,8.0
247,blades,9.0
248,blah,5.0
249,blame,5.0
250,blamed,6.0
251,blames,6.0
252,blanch,6.0
253,blanched,7.0
254,bland,8.0
255,blank,4.0
256,blare,8.0
257,blared,9.0
258,blares,9.0
259,blast,8.0
260,blasts,9.0
261,blaze,4.0
262,blazed,5.0
263,bleach,5.0
264,bleached,6.0
265,bleak,7.0
266,bleat,5.0
267,bleats,6.0
268,bled,6.0
269,bleed,5.0
270,bleeds,6.0
271,bleep,5.0
272,bleeps,6.0
273,blend,4.0
274,blends,5.0
275,bless,4.0
276,blessed,5.0
277,blew,7.0
278,blight,7.0
279,blights,8.0
280,blimp,10.0
281,blimps,11.0
282,blind,6.0
283,blink,5.0
284,blinked,6.0
285,blinks,6.0
286,blip,6.0
287,blips,7.0
288,bliss,4.0
289,blithe,7.0
290,blitz,6.0
291,bloat,5.0
292,bloats,6.0
293,blob,4.0
294,blobs,5.0
295,bloc,4.0
296,block,5.0
297,blocks,6.0
298,blocs,5.0
299,bloke,13.0
300,blokes,14.0
301,blond,9.0
302,blonde,8.0
303,blood,9.0
304,bloods,10.0
305,bloom,8.0
306,bloomed,9.0
307,blooms,9.0
308,blot,7.0
309,blotch,9.0
310,blots,8.0
311,blouse,23.0
312,blow,6.0
313,blows,7.0
314,blue,5.0
315,blues,7.0
316,bluff,8.0
317,bluffs,9.0
318,blunt,7.0
319,blur,3.0
320,blurb,7.0
321,blurred,4.0
322,blurs,4.0
323,blurt,6.0
324,blurts,7.0
325,blush,6.0
326,blushed,7.0
327,boar,27.0
328,board,6.0
329,boards,7.0
330,boars,28.0
331,boast,10.0
332,boasts,11.0
333,boat,20.0
334,boats,21.0
335,bob,4.0
336,bobbed,5.0
337,bobs,5.0
338,bock,9.0
339,bocks,10.0
340,bod,7.0
341,bode,7.0
342,bog,3.0
343,boil,6.0
344,boiled,7.0
345,boils,7.0
346,bold,8.0
347,bolt,5.0
348,bolts,6.0
349,bomb,11.0
350,bombs,12.0
351,bond,7.0
352,bonds,8.0
353,bone,16.0
354,bones,17.0
355,boo,9.0
356,book,16.0
357,books,17.0
358,boom,5.0
359,booms,6.0
360,boon,5.0
361,boons,6.0
362,boor,11.0
363,boors,12.0
364,boos,10.0
365,boost,3.0
366,boosts,4.0
367,boot,16.0
368,booth,11.0
369,booths,12.0
370,boots,17.0
371,booze,8.0
372,bop,7.0
373,bops,8.0
374,boss,9.0
375,botch,4.0
376,both,10.0
377,bough,9.0
378,boughs,10.0
379,bought,5.0
380,bounce,6.0
381,bounced,7.0
382,bound,6.0
383,bourn,6.0
384,bout,3.0
385,bouts,4.0
386,bow,9.0
387,bowl,9.0
388,bowls,10.0
389,bows,10.0
390,box,8.0
391,boy,9.0
392,boys,10.0
393,bra,22.0
394,brace,7.0
395,brad,11.0
396,brads,12.0
397,brag,9.0
398,bragged,10.0
399,brags,10.0
400,braid,6.0
401,braids,7.0
402,braille,8.0
403,brain,6.0
404,brains,7.0
405,braise,5.0
406,brake,7.0
407,brakes,8.0
408,bran,7.0
409,branch,7.0
410,brand,7.0
411,brands,8.0
412,brans,8.0
413,brash,8.0
414,brass,7.0
415,brat,13.0
416,brats,14.0
417,brave,7.0
418,brawl,3.0
419,brawls,4.0
420,brawn,5.0
421,brawns,6.0
422,bray,9.0
423,brayed,10.0
424,brays,10.0
425,braze,5.0
426,breach,4.0
427,bread,8.0
428,breads,9.0
429,breadth,5.0
430,breadths,6.0
431,break,5.0
432,breast,5.0
433,breasts,6.0
434,breath,9.0
435,breathe,6.0
436,breaths,10.0
437,breech,5.0
438,breed,4.0
439,breeds,5.0
440,breeze,7.0
441,brew,8.0
442,brews,9.0
443,bribe,7.0
444,bribed,8.0
445,bribes,8.0
446,brick,4.0
447,bricks,5.0
448,bride,10.0
449,brides,11.0
450,bridge,10.0
451,brief,7.0
452,bright,5.0
453,brigs,27.0
454,brill,30.0
455,brim,6.0
456,brims,7.0
457,brine,7.0
458,bring,6.0
459,brings,7.0
460,brink,6.0
461,brinks,7.0
462,brisk,6.0
463,broach,9.0
464,broached,10.0
465,broad,8.0
466,brogue,21.0
467,broil,5.0
468,broiled,6.0
469,broils,6.0
470,broke,7.0
471,bronx,6.0
472,bronze,7.0
473,brooch,8.0
474,brood,6.0
475,broods,7.0
476,brook,9.0
477,brooks,10.0
478,broom,5.0
479,brooms,6.0
480,broth,11.0
481,broths,12.0
482,brought,7.0
483,brow,6.0
484,brown,7.0
485,brows,7.0
486,bruise,6.0
487,brunch,12.0
488,brunt,5.0
489,brush,5.0
490,brushed,6.0
491,brute,11.0
492,brutes,12.0
493,buck,7.0
494,bucks,8.0
495,bud,7.0
496,budge,4.0
497,budged,5.0
498,buds,8.0
499,buff,6.0
500,bug,23.0
501,bugs,24.0
502,build,5.0
503,builds,6.0
504,built,6.0
505,bulb,8.0
506,bulbs,9.0
507,bulge,5.0
508,bulged,6.0
509,bulk,5.0
510,bulks,6.0
511,bull,36.0
512,bulls,37.0
513,bum,13.0
514,bump,6.0
515,bumped,7.0
516,bumps,7.0
517,bums,14.0
518,bun,9.0
519,bunch,5.0
520,bunk,6.0
521,bunks,7.0
522,buns,10.0
523,bunt,6.0
524,bunts,7.0
525,burl,7.0
526,burls,8.0
527,burn,5.0
528,burned,6.0
529,burns,6.0
530,burp,9.0
531,burps,10.0
532,burr,7.0
533,burrs,8.0
534,burst,7.0
535,bus,7.0
536,bush,15.0
537,bust,4.0
538,busts,5.0
539,but,9.0
540,butch,10.0
541,butt,8.0
542,butts,9.0
543,buy,4.0
544,buys,5.0
545,buzz,6.0
546,buzzed,7.0
547,by,9.0
548,cab,14.0
549,cabs,15.0
550,cache,10.0
551,cad,10.0
552,cads,11.0
553,cage,6.0
554,cake,5.0
555,cakes,6.0
556,calf,10.0
557,call,5.0
558,called,6.0
559,calls,6.0
560,calm,6.0
561,calve,5.0
562,calves,11.0
563,cam,7.0
564,came,8.0
565,camp,9.0
566,camps,10.0
567,cams,8.0
568,cane,6.0
569,canes,7.0
570,cant,4.0
571,cants,5.0
572,cap,8.0
573,cape,5.0
574,capes,6.0
575,caps,9.0
576,car,56.0
577,card,6.0
578,cards,7.0
579,care,7.0
580,cared,8.0
581,cares,8.0
582,carp,3.0
583,cars,57.0
584,cart,17.0
585,carts,18.0
586,carve,6.0
587,carved,7.0
588,carves,7.0
589,case,5.0
590,cash,4.0
591,cask,6.0
592,casks,7.0
593,casque,9.0
594,cast,
595,cast,
596,caste,3.0
597,castes,4.0
598,casts,7.0
599,cat,24.0
600,catch,4.0
601,cats,25.0
602,caught,5.0
603,caul,7.0
604,caulk,6.0
605,cause,4.0
606,caused,5.0
607,cave,8.0
608,caves,9.0
609,caw,9.0
610,cease,2.0
611,ceased,3.0
612,cell,11.0
613,cells,12.0
614,celt,9.0
615,celts,10.0
616,cense,4.0
617,cent,7.0
618,cents,8.0
619,chafe,5.0
620,chafed,6.0
621,chafes,6.0
622,chain,5.0
623,chains,6.0
624,chair,12.0
625,chairs,13.0
626,chaise,13.0
627,chalk,6.0
628,chalks,7.0
629,champ,9.0
630,champs,10.0
631,chance,3.0
632,change,3.0
633,chant,7.0
634,chants,8.0
635,chap,11.0
636,chaps,12.0
637,char,4.0
638,charge,8.0
639,charm,7.0
640,charms,8.0
641,charred,5.0
642,chars,5.0
643,chart,9.0
644,charts,10.0
645,chase,4.0
646,chaste,6.0
647,chat,6.0
648,chats,7.0
649,cheap,6.0
650,cheat,7.0
651,cheats,8.0
652,check,4.0
653,checked,5.0
654,checks,5.0
655,cheek,6.0
656,cheeks,7.0
657,cheep,9.0
658,cheeps,10.0
659,cheer,7.0
660,cheers,8.0
661,cheese,7.0
662,chef,10.0
663,chefs,11.0
664,chess,15.0
665,chest,5.0
666,chests,6.0
667,chew,9.0
668,chewed,10.0
669,chews,10.0
670,chic,4.0
671,chick,36.0
672,chicks,37.0
673,chide,7.0
674,child,12.0
675,chill,7.0
676,chills,8.0
677,chime,9.0
678,chimes,10.0
679,chimp,23.0
680,chimps,24.0
681,chin,6.0
682,chink,7.0
683,chinked,8.0
684,chinks,8.0
685,chins,7.0
686,chip,5.0
687,chips,6.0
688,chirp,10.0
689,chirped,11.0
690,chirps,11.0
691,chit,16.0
692,chits,17.0
693,chive,13.0
694,chives,14.0
695,choice,5.0
696,choir,4.0
697,choirs,5.0
698,choke,6.0
699,choked,7.0
700,chokes,7.0
701,chomp,7.0
702,chomps,8.0
703,choose,5.0
704,chop,7.0
705,chopped,8.0
706,chops,8.0
707,chord,4.0
708,chords,5.0
709,chore,6.0
710,chores,7.0
711,chose,6.0
712,chow,7.0
713,chows,8.0
714,christ,6.0
715,christs,7.0
716,chrome,7.0
717,chromes,8.0
718,chub,32.0
719,chubs,33.0
720,chuck,7.0
721,chucks,8.0
722,chug,6.0
723,chugged,7.0
724,chugs,7.0
725,chum,10.0
726,chump,10.0
727,chumps,11.0
728,chums,11.0
729,chunk,5.0
730,chunks,6.0
731,church,6.0
732,churl,11.0
733,churls,12.0
734,churn,6.0
735,churned,7.0
736,churns,7.0
737,chute,5.0
738,chutes,6.0
739,cinch,3.0
740,cite,4.0
741,cites,5.0
742,clad,5.0
743,claim,9.0
744,claims,10.0
745,clam,13.0
746,clamp,6.0
747,clamped,7.0
748,clamps,7.0
749,clams,14.0
750,clan,3.0
751,clang,6.0
752,clangs,7.0
753,clank,7.0
754,clanked,8.0
755,clanks,8.0
756,clans,4.0
757,clap,6.0
758,clapped,7.0
759,claps,7.0
760,clash,5.0
761,clasp,5.0
762,clasped,6.0
763,clasps,6.0
764,class,3.0
765,clause,10.0
766,claw,6.0
767,claws,7.0
768,clay,7.0
769,clays,8.0
770,clean,4.0
771,cleaned,5.0
772,cleans,5.0
773,cleanse,7.0
774,cleansed,8.0
775,clear,6.0
776,cleat,9.0
777,cleats,10.0
778,cleave,6.0
779,cleaves,7.0
780,clef,12.0
781,cleft,5.0
782,clefts,6.0
783,clench,5.0
784,clenched,6.0
785,clerk,9.0
786,clerks,10.0
787,click,5.0
788,clicked,6.0
789,clicks,6.0
790,cliff,5.0
791,cliffs,6.0
792,climb,5.0
793,climbed,6.0
794,climbs,6.0
795,clime,4.0
796,climes,5.0
797,clinch,6.0
798,clinched,7.0
799,cling,3.0
800,clings,4.0
801,clink,4.0
802,clinked,5.0
803,clinks,5.0
804,clip,8.0
805,clips,9.0
806,clique,4.0
807,cliques,5.0
808,cloak,5.0
809,cloaks,6.0
810,clock,8.0
811,clocks,9.0
812,clod,5.0
813,clods,6.0
814,clog,7.0
815,clogged,8.0
816,clogs,8.0
817,clone,4.0
818,clones,5.0
819,clop,8.0
820,close,
821,close,
822,closed,
823,closed,
824,clot,5.0
825,cloth,8.0
826,clothe,5.0
827,clothed,6.0
828,clothes,6.0
829,cloths,9.0
830,clots,6.0
831,cloud,4.0
832,clouds,5.0
833,clout,10.0
834,clouts,11.0
835,clove,7.0
836,clown,10.0
837,clowns,11.0
838,cloy,6.0
839,club,6.0
840,clubs,7.0
841,cluck,5.0
842,clucks,6.0
843,clue,7.0
844,clues,8.0
845,clump,4.0
846,clumps,5.0
847,clung,4.0
848,clunk,5.0
849,clutch,5.0
850,clutched,6.0
851,coach,9.0
852,coal,5.0
853,coals,6.0
854,coarse,8.0
855,coast,9.0
856,coasts,10.0
857,coat,27.0
858,coats,28.0
859,coax,5.0
860,coaxed,6.0
861,cob,11.0
862,cobs,12.0
863,cock,6.0
864,cocked,7.0
865,cocks,7.0
866,cod,8.0
867,code,6.0
868,codes,7.0
869,cods,9.0
870,cog,9.0
871,cogs,10.0
872,coif,9.0
873,coifs,10.0
874,coil,8.0
875,coils,9.0
876,coin,8.0
877,coins,9.0
878,coke,5.0
879,cokes,6.0
880,cold,5.0
881,colt,11.0
882,colts,12.0
883,comb,7.0
884,combs,8.0
885,come,7.0
886,comes,8.0
887,con,7.0
888,cone,4.0
889,cones,5.0
890,conk,17.0
891,conks,18.0
892,cons,8.0
893,coo,7.0
894,cooed,8.0
895,cook,5.0
896,cooked,6.0
897,cooks,6.0
898,cool,6.0
899,cooled,7.0
900,cools,7.0
901,coon,9.0
902,coons,10.0
903,coop,30.0
904,coops,31.0
905,coos,8.0
906,coot,32.0
907,coots,33.0
908,cop,11.0
909,cope,3.0
910,coped,4.0
911,copes,4.0
912,cops,12.0
913,copse,4.0
914,cord,7.0
915,cords,8.0
916,core,3.0
917,cores,4.0
918,cork,5.0
919,corks,6.0
920,corn,19.0
921,corns,20.0
922,corps,
923,corps,
924,corpse,5.0
925,cost,7.0
926,costs,8.0
927,cot,7.0
928,cots,8.0
929,couch,11.0
930,cough,5.0
931,coughed,6.0
932,coughs,6.0
933,could,7.0
934,count,3.0
935,counts,4.0
936,coup,5.0
937,coupe,57.0
938,coupes,58.0
939,coups,6.0
940,course,4.0
941,court,3.0
942,courts,4.0
943,cove,5.0
944,coves,6.0
945,cow,36.0
946,cowl,6.0
947,cowls,7.0
948,cows,37.0
949,cox,12.0
950,coy,8.0
951,crab,16.0
952,crabs,17.0
953,crack,4.0
954,cracked,5.0
955,cracks,5.0
956,craft,4.0
957,crafts,5.0
958,cram,4.0
959,crammed,5.0
960,cramp,7.0
961,cramps,8.0
962,crams,5.0
963,crane,7.0
964,cranes,8.0
965,crank,11.0
966,cranks,12.0
967,crap,9.0
968,craps,10.0
969,crash,8.0
970,crashed,9.0
971,crass,8.0
972,crate,9.0
973,crates,10.0
974,crave,5.0
975,craved,6.0
976,craves,6.0
977,crawl,5.0
978,crawled,6.0
979,crawls,6.0
980,craze,4.0
981,crazed,5.0
982,creak,8.0
983,creaked,9.0
984,creaks,9.0
985,cream,4.0
986,creams,5.0
987,crease,6.0
988,creche,29.0
989,creed,6.0
990,creeds,7.0
991,creek,8.0
992,creeks,9.0
993,creep,4.0
994,creeps,5.0
995,crept,5.0
996,cress,14.0
